mission_days,total_delta_v_m_s
181.19182678352186,436.58652319719636
181.211922724532,436.8033859552447
178.82241853550804,453.80210634889966
179.95141583891834,446.87667121400614
178.59214108959375,458.21702423738236
179.931319893609,450.03387675405963
178.62363547980408,458.8925507792859
178.6783333197383,458.74362302645636
178.60354001827315,459.2926887477837
178.69842847756814,459.5506343873666
179.91992069041171,451.5367104853532
178.70982795835621,461.6212136003986
179.62390161802313,456.30910407408965
178.77495452783072,466.6293549989837
178.88124037440528,466.51247621060224
178.8497452432427,466.96678639324523
178.62129644776738,468.9790571054572
178.8611444401611,467.9613650648797
178.70748867791193,469.5056558945312
178.63269537644678,470.0547216158585
179.82681131635638,464.04235941967374
179.79531618519377,464.49666960231684
179.88150603991107,464.97778039118566
179.80671538211217,465.4912482739513
179.9016019809212,465.194643149234
180.0112626359399,465.8412947521524
178.591597407167,479.96722694231147
179.76522094477411,472.24330093471156
178.6066786927217,480.1416296161627
178.89029979833472,478.72339793295464
178.6230917973773,480.642753484215
180.020321643731,471.331091143778
178.6029963358464,481.0428914527128
179.62335147883033,474.3929805059009
178.62677416101855,481.4072432599908
180.0226611429892,472.22455970305117
179.64344694712725,475.658594149729
178.74485781976836,481.84297646507605
179.99116648702727,473.5526982178129
178.71336236273,482.66388797619715
180.17164601490308,473.05779168565994
180.19174195591322,473.2746544437083
179.77124328188444,476.4412716599221
179.6548461174483,477.27057107984325
179.66086847190263,477.26281271634974
180.19408199824835,474.1634825662542
179.65852848108955,478.03506085561907
180.20314065352102,475.9353822596022
179.7451247958615,479.95470440037207
180.17398605293903,477.32068810630767
180.16258684974173,478.8235218376012
178.77809325989233,488.32919514438987
178.77441084540396,488.3795577039127
179.82626117716364,482.12623585148515
179.83228353161797,482.11847748799164
179.79476604600103,482.58054603412813
179.77661943447941,482.83229497431427
179.78264178893374,482.82453661082087
179.80984759979475,482.6738628692126
179.8299435408049,482.89072562726096
179.7803023411976,483.5921443133628
179.80616524291946,483.5751247057627
179.75114713297182,484.1526751255826
178.7247616776217,491.22013154306245
181.03729828846684,475.60998797572876
179.81218758630865,485.2756830280452
181.22011731560087,476.008550002849
179.94804028973854,484.77121783751727
179.9540626441929,484.7634594740239
179.91654515857596,485.22552802016037
179.93162671236968,485.3188448552447
179.95172265337982,485.5357076132931
181.18862265963895,477.3366885176107
181.21777726242962,477.14372652791747
181.2087186006491,477.55355127565906
179.92794435549436,486.22010669179485
179.93396669888358,487.9206650140774
178.89618198272308,495.6400558858236
179.92256749568628,489.4234987453709
180.85156748386754,485.0708434943755
180.97334659644244,487.7158254804077
179.90178719918075,500.16426182972293
179.93328158939104,500.83978837162636
179.91318612786011,501.23992634012427
